TYP,PFAD,KNOTENZAHL,DUPLIKATION,VERLUST,HGT,EVOLUTIONSRATE,BI_ANZAHL,DI_ANZAHL,EM_ANZAHL,FITCH,DELETION_RATE,SPECIAL,PARTIAL_BI_ANZAHL,PARTIAL_DI_ANZAHL,PARTIAL_EM_ANZAHL,PARTIAL_FITCH,ALGO_ONE_ORDER,ALGO_ONE_DIFF,ALGO_TWO_DIFF
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,42,18,12,False,0.1,False,38,17,10,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_77,10,0.3,0.3,0.9,77,0,16,58,True,0.9,True,0,0,6,True,"(1, 0, 2)",0.9333333333333333,0.5
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,24,28,10,False,0.9,True,2,0,0,True,"(1, 0, 2)",0.7333333333333333,0.8222222222222222
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_78,10,0.3,0.3,0.9,78,6,27,30,True,0.6,False,2,11,12,True,"(0, 1, 2)",0.45555555555555555,0.4222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,66,12,0,True,0.6,False,26,5,0,True,"(0, 1, 2)",0.06666666666666667,0.17777777777777778
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_79,10,0.3,0.3,0.9,79,24,26,14,True,0.3,True,16,0,10,True,"(0, 2, 1)",0.4444444444444444,0.5444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,20,29,12,False,0.3,True,14,0,8,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_8,10,0.3,0.3,0.9,8,16,25,24,True,0.7,True,4,0,8,True,"(1, 2, 0)",0.8666666666666667,0.6555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,42,16,16,False,0.7,True,12,0,4,True,"(1, 2, 0)",0.4888888888888889,0.4444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_80,10,0.3,0.3,0.9,80,2,16,56,True,0.7,False,0,5,16,True,"(2, 1, 0)",0.43333333333333335,0.43333333333333335
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,54,12,12,True,0.7,False,16,4,4,True,"(2, 1, 0)",0.15555555555555556,0.37777777777777777
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_81,10,0.3,0.3,0.9,81,0,29,32,True,0.5,True,0,0,16,True,"(1, 2, 0)",0.8222222222222222,0.4222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,72,1,16,False,0.5,True,36,0,8,True,"(1, 2, 0)",0.044444444444444446,0.08888888888888889
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_82,10,0.3,0.3,0.9,82,16,31,12,True,0.3,False,12,22,8,True,"(0, 1, 2)",0.18888888888888888,0.18888888888888888
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,4,6,74,False,0.3,False,2,5,52,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_83,10,0.3,0.3,0.9,83,10,31,18,True,0.8,True,2,0,4,True,"(1, 0, 2)",0.9333333333333333,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,58,9,14,True,0.8,True,12,0,2,True,"(1, 0, 2)",0.3333333333333333,0.3333333333333333
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_84,10,0.3,0.3,0.9,84,6,21,42,True,0.6,True,2,0,16,True,"(2, 1, 0)",0.5444444444444444,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,28,3,56,False,0.6,True,12,0,22,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_85,10,0.3,0.3,0.9,85,8,25,32,True,0.8,True,2,0,6,True,"(0, 2, 1)",0.4666666666666667,0.5444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,22,26,16,False,0.8,True,4,0,4,True,"(0, 2, 1)",0.6,0.6222222222222222
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_86,10,0.3,0.3,0.9,86,0,9,72,True,0.3,False,0,7,50,True,"(2, 1, 0)",0.26666666666666666,0.26666666666666666
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,26,3,58,False,0.3,False,18,3,40,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_87,10,0.3,0.3,0.9,87,16,27,20,True,0.5,True,8,0,10,True,"(2, 0, 1)",0.4777777777777778,0.6666666666666666
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,38,11,30,False,0.5,True,18,0,14,False,"(2, 0, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_88,10,0.3,0.3,0.9,88,0,16,58,True,0.6,True,0,0,24,True,"(1, 0, 2)",0.7333333333333333,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,30,8,44,False,0.6,True,12,0,18,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_89,10,0.3,0.3,0.9,89,8,28,26,True,0.3,True,6,0,18,True,"(0, 1, 2)",0.7333333333333333,0.4777777777777778
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,34,2,52,False,0.3,True,24,0,36,True,"(0, 1, 2)",0.044444444444444446,0.044444444444444446
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_9,10,0.3,0.3,0.9,9,10,28,24,True,0.3,False,6,20,16,True,"(2, 0, 1)",0.2222222222222222,0.2222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,22,11,46,False,0.3,False,16,8,32,False,"(2, 0, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_90,10,0.3,0.3,0.9,90,0,28,34,True,0.3,True,0,0,24,True,"(0, 1, 2)",0.7333333333333333,0.4222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,46,7,30,True,0.3,True,32,0,20,True,"(0, 1, 2)",0.15555555555555556,0.13333333333333333
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_91,10,0.3,0.3,0.9,91,8,25,32,True,0.2,True,6,0,26,True,"(2, 1, 0)",0.36666666666666664,0.36666666666666664
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,46,4,36,False,0.2,True,36,0,28,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_92,10,0.3,0.3,0.9,92,24,27,12,True,0.2,False,20,22,10,True,"(1, 0, 2)",0.12222222222222222,0.1111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,24,21,24,False,0.2,False,20,17,20,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_93,10,0.3,0.3,0.9,93,10,24,32,True,0.5,True,4,0,16,True,"(1, 0, 2)",0.7777777777777778,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,78,3,6,True,0.5,True,38,0,2,True,"(1, 0, 2)",0.1111111111111111,0.24444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_94,10,0.3,0.3,0.9,94,0,29,32,True,0.4,False,0,18,20,True,"(0, 2, 1)",0.25555555555555554,0.25555555555555554
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,16,2,70,False,0.4,False,10,2,42,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_95,10,0.3,0.3,0.9,95,0,29,32,True,0.5,True,0,0,16,True,"(2, 1, 0)",0.4666666666666667,0.4666666666666667
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,0,9,72,False,0.5,True,0,0,36,True,"(2, 1, 0)",0.2,0.2
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_96,10,0.3,0.3,0.9,96,0,23,44,True,0.5,False,0,12,22,True,"(1, 0, 2)",0.36666666666666664,0.35555555555555557
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,40,4,42,False,0.5,False,20,2,20,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_97,10,0.3,0.3,0.9,97,28,24,14,True,0.4,True,16,0,8,True,"(2, 0, 1)",0.4666666666666667,0.43333333333333335
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,76,7,0,True,0.4,True,46,0,0,True,"(2, 0, 1)",0.15555555555555556,0.24444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_98,10,0.3,0.3,0.9,98,10,24,32,True,0.7,False,2,8,10,True,"(0, 2, 1)",0.35555555555555557,0.37777777777777777
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,10,3,74,False,0.7,False,2,1,22,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.3_L0.3_H0.9\D0.3_L0.3_H0.9_n10_99,10,0.3,0.3,0.9,99,8,25,32,True,0.8,True,2,0,6,True,"(0, 1, 2)",0.9111111111111111,0.5222222222222223
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,34,8,40,False,0.8,True,6,0,8,True,"(0, 1, 2)",0.5777777777777777,0.7111111111111111
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_0,10,0.5,0.5,0.25,0,4,22,42,True,0.6,True,2,0,16,True,"(0, 1, 2)",0.8,0.5444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,18,8,56,False,0.6,True,8,0,22,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_1,10,0.5,0.5,0.25,1,0,16,58,True,0.2,False,0,13,46,True,"(0, 1, 2)",0.16666666666666666,0.15555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,24,27,12,False,0.2,False,20,22,10,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_10,10,0.5,0.5,0.25,10,18,24,24,True,0.2,False,14,20,20,True,"(2, 0, 1)",0.13333333333333333,0.13333333333333333
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,30,26,8,False,0.2,False,24,21,6,False,"(2, 0, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_11,10,0.5,0.5,0.25,11,0,9,72,True,0.8,False,0,2,14,True,"(0, 1, 2)",0.7444444444444445,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,40,22,6,False,0.8,False,8,5,2,True,"(0, 1, 2)",0.35555555555555557,0.2
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_12,10,0.5,0.5,0.25,12,0,25,40,True,0.6,False,0,10,16,True,"(2, 0, 1)",0.3888888888888889,0.3888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,74,7,2,False,0.6,False,30,3,0,True,"(2, 0, 1)",0.08888888888888889,0.28888888888888886
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_13,10,0.5,0.5,0.25,13,0,9,72,True,0.8,False,0,2,14,True,"(2, 1, 0)",0.5555555555555556,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,42,17,14,False,0.8,False,8,4,2,True,"(2, 1, 0)",0.4666666666666667,0.4444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_14,10,0.5,0.5,0.25,14,0,0,90,True,0.7,True,0,0,28,True,"(0, 2, 1)",0.6888888888888889,0.6888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,22,20,28,False,0.7,True,6,0,8,True,"(0, 2, 1)",0.6222222222222222,0.6888888888888889
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_15,10,0.5,0.5,0.25,15,0,0,90,True,0.2,True,0,0,72,True,"(1, 0, 2)",0.2,0.2
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,2,31,26,False,0.2,True,2,0,20,True,"(1, 0, 2)",0.7333333333333333,0.6222222222222222
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_16,10,0.5,0.5,0.25,16,0,9,72,True,0.5,False,0,5,36,True,"(0, 2, 1)",0.4444444444444444,0.4444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,8,34,14,False,0.5,False,4,17,6,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_17,10,0.5,0.5,0.25,17,0,0,90,True,0.9,False,0,0,8,True,"(2, 0, 1)",0.4888888888888889,0.4888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,10,30,20,False,0.9,False,0,3,2,True,"(2, 0, 1)",0.4888888888888889,0.5333333333333333
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_18,10,0.5,0.5,0.25,18,4,21,44,True,0.8,False,0,5,8,True,"(2, 0, 1)",0.4666666666666667,0.4666666666666667
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,12,36,6,False,0.8,False,2,8,2,True,"(2, 0, 1)",0.24444444444444444,0.5777777777777777
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_19,10,0.5,0.5,0.25,19,8,25,32,True,0.3,False,6,18,22,True,"(2, 1, 0)",0.2111111111111111,0.2111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,74,2,12,False,0.3,False,52,2,8,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_2,10,0.5,0.5,0.25,2,6,26,32,True,0.7,False,2,8,10,True,"(2, 0, 1)",0.4222222222222222,0.4666666666666667
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,14,3,70,False,0.7,False,4,1,20,False,"(2, 0, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_20,10,0.5,0.5,0.25,20,0,0,90,True,0.6,True,0,0,36,True,"(0, 1, 2)",0.6,0.6
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,28,13,36,False,0.6,True,12,0,14,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_21,10,0.5,0.5,0.25,21,0,0,90,True,0.4,True,0,0,54,True,"(1, 0, 2)",0.4,0.4
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,64,0,26,False,0.4,True,38,0,16,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_22,10,0.5,0.5,0.25,22,2,16,56,True,0.3,True,2,0,40,True,"(2, 0, 1)",0.35555555555555557,0.35555555555555557
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,56,10,14,False,0.3,True,40,0,10,True,"(2, 0, 1)",0.24444444444444444,0.24444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_23,10,0.5,0.5,0.25,23,0,0,90,True,0.8,True,0,0,18,True,"(0, 1, 2)",0.8,0.7
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,22,15,38,False,0.8,True,4,0,8,True,"(0, 1, 2)",0.6666666666666666,0.6888888888888889
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_24,10,0.5,0.5,0.25,24,0,9,72,True,0.2,False,0,8,58,True,"(1, 0, 2)",0.16666666666666666,0.16666666666666666
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,48,10,22,False,0.2,False,38,8,18,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_25,10,0.5,0.5,0.25,25,0,0,90,True,0.3,True,0,0,62,True,"(0, 2, 1)",0.3111111111111111,0.3111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,14,2,72,False,0.3,True,10,0,50,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_26,10,0.5,0.5,0.25,26,0,24,42,True,0.7,True,0,0,12,True,"(0, 1, 2)",0.8666666666666667,0.4777777777777778
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,10,6,68,False,0.7,True,2,0,20,False,"(0, 1, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_27,10,0.5,0.5,0.25,27,0,9,72,True,0.2,False,0,8,58,True,"(1, 2, 0)",0.16666666666666666,0.16666666666666666
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,4,31,24,False,0.2,False,4,25,20,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_28,10,0.5,0.5,0.25,28,0,0,90,True,0.3,False,0,0,62,True,"(1, 0, 2)",0.3111111111111111,0.3111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,20,7,56,False,0.3,False,14,5,40,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_29,10,0.5,0.5,0.25,29,0,16,58,True,0.6,False,0,7,24,True,"(0, 1, 2)",0.4777777777777778,0.4666666666666667
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,54,16,4,False,0.6,False,22,7,2,True,"(0, 1, 2)",0.1111111111111111,0.13333333333333333
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_3,10,0.5,0.5,0.25,3,4,22,42,True,0.6,True,2,0,16,True,"(1, 2, 0)",0.8,0.5555555555555556
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,20,31,8,False,0.6,True,8,0,4,True,"(1, 2, 0)",0.7333333333333333,0.7777777777777778
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_30,10,0.5,0.5,0.25,30,12,25,28,True,0.8,False,2,5,6,True,"(0, 2, 1)",0.4222222222222222,0.45555555555555555
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,26,26,12,False,0.8,False,6,6,2,True,"(0, 2, 1)",0.2222222222222222,0.3111111111111111
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_31,10,0.5,0.5,0.25,31,14,25,26,True,0.7,True,4,0,8,True,"(2, 0, 1)",0.4666666666666667,0.5222222222222223
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,50,7,26,False,0.7,True,14,0,8,True,"(2, 0, 1)",0.37777777777777777,0.4666666666666667
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_32,10,0.5,0.5,0.25,32,0,9,72,True,0.5,False,0,5,36,True,"(2, 0, 1)",0.4444444444444444,0.4444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,6,24,36,False,0.5,False,2,12,18,False,"(2, 0, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_33,10,0.5,0.5,0.25,33,0,9,72,True,0.4,False,0,6,44,True,"(1, 2, 0)",0.34444444444444444,0.34444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,20,28,14,False,0.4,False,12,17,8,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_34,10,0.5,0.5,0.25,34,2,16,56,True,0.4,False,2,10,34,True,"(1, 2, 0)",0.3111111111111111,0.3111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,60,5,20,False,0.4,False,36,3,12,True,"(1, 2, 0)",0.044444444444444446,0.06666666666666667
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_35,10,0.5,0.5,0.25,35,0,16,58,True,0.5,False,0,8,28,True,"(2, 1, 0)",0.4222222222222222,0.4222222222222222
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,46,19,6,False,0.5,False,22,10,2,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_36,10,0.5,0.5,0.25,36,2,16,56,True,0.8,True,0,0,12,True,"(0, 1, 2)",0.8666666666666667,0.4888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,70,6,8,False,0.8,True,14,0,2,True,"(0, 1, 2)",0.2,0.3333333333333333
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_37,10,0.5,0.5,0.25,37,0,9,72,True,0.3,False,0,7,50,True,"(2, 0, 1)",0.26666666666666666,0.26666666666666666
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,30,30,0,False,0.3,False,20,21,0,False,"(2, 0, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_38,10,0.5,0.5,0.25,38,0,0,90,True,0.2,True,0,0,72,True,"(0, 2, 1)",0.2,0.2
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,28,31,0,False,0.2,True,22,0,0,True,"(0, 2, 1)",0.6444444444444445,0.4444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_39,10,0.5,0.5,0.25,39,0,0,90,True,0.3,True,0,0,62,True,"(1, 0, 2)",0.3111111111111111,0.3111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,58,8,16,False,0.3,True,40,0,12,True,"(1, 0, 2)",0.17777777777777778,0.1111111111111111
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_4,10,0.5,0.5,0.25,4,0,0,90,True,0.4,True,0,0,54,True,"(2, 0, 1)",0.4,0.4
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,60,7,16,False,0.4,True,36,0,10,True,"(2, 0, 1)",0.15555555555555556,0.15555555555555556
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_40,10,0.5,0.5,0.25,40,0,0,90,True,0.5,False,0,0,44,True,"(1, 0, 2)",0.5111111111111111,0.5111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,14,30,16,False,0.5,False,6,15,8,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_41,10,0.5,0.5,0.25,41,0,21,48,True,0.5,True,0,0,24,True,"(2, 1, 0)",0.5,0.5
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,8,33,16,False,0.5,True,4,0,8,True,"(2, 1, 0)",0.5555555555555556,0.4888888888888889
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_42,10,0.5,0.5,0.25,42,0,0,90,True,0.7,False,0,0,28,True,"(0, 2, 1)",0.6888888888888889,0.6888888888888889
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,14,37,2,False,0.7,False,4,12,0,True,"(0, 2, 1)",0.3111111111111111,0.17777777777777778
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_43,10,0.5,0.5,0.25,43,2,16,56,True,0.2,True,2,0,44,True,"(1, 0, 2)",0.4888888888888889,0.3111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,52,17,4,False,0.2,True,42,0,4,True,"(1, 0, 2)",0.4,0.24444444444444444
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_44,10,0.5,0.5,0.25,44,4,22,42,True,0.6,False,2,9,16,True,"(2, 1, 0)",0.37777777777777777,0.37777777777777777
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,12,32,14,False,0.6,False,4,13,6,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_45,10,0.5,0.5,0.25,45,0,27,36,True,0.2,False,0,22,28,True,"(2, 1, 0)",0.14444444444444443,0.14444444444444443
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,34,24,8,False,0.2,False,28,20,6,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_46,10,0.5,0.5,0.25,46,0,16,58,True,0.8,True,0,0,12,True,"(1, 2, 0)",0.8666666666666667,0.5444444444444444
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,38,22,8,False,0.8,True,8,0,2,True,"(1, 2, 0)",0.5555555555555556,0.4222222222222222
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_47,10,0.5,0.5,0.25,47,4,21,44,True,0.2,True,4,0,36,True,"(0, 2, 1)",0.32222222222222224,0.32222222222222224
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,58,3,26,False,0.2,True,46,0,20,True,"(0, 2, 1)",0.06666666666666667,0.044444444444444446
XENOLOGY,graph-prak-GFH\n10\D0.5_L0.5_H0.25\D0.5_L0.5_H0.25_n10_48,10,0.5,0.5,0.25,48,0,0,90,True,0.3,False,0,0,62,True,"(0, 2, 1)",0.3111111111111111,0.3111111111111111
