TYP,PFAD,KNOTENZAHL,DUPLIKATION,VERLUST,HGT,EVOLUTIONSRATE,BI_ANZAHL,DI_ANZAHL,EM_ANZAHL,FITCH,DELETION_RATE,SPECIAL,PARTIAL_BI_ANZAHL,PARTIAL_DI_ANZAHL,PARTIAL_EM_ANZAHL,PARTIAL_FITCH,ALGO_ONE_ORDER,ALGO_ONE_DIFF,ALGO_TWO_DIFF
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_22,10,0.25,0.5,1.0,22,18,25,22,True,0.7,False,6,8,6,True,"(0, 2, 1)",0.4111111111111111,0.4
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,56,15,4,False,0.7,False,16,5,2,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_23,10,0.25,0.5,1.0,23,18,25,22,True,0.2,False,14,20,18,True,"(2, 0, 1)",0.14444444444444443,0.13333333333333333
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,56,4,26,False,0.2,False,44,4,20,False,"(2, 0, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_24,10,0.25,0.5,1.0,24,14,28,20,True,0.4,False,8,17,12,True,"(1, 2, 0)",0.3,0.26666666666666666
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,30,1,58,False,0.4,False,18,1,34,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_25,10,0.25,0.5,1.0,25,20,25,20,True,0.1,True,18,0,18,True,"(1, 2, 0)",0.6,0.3111111111111111
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,48,3,36,False,0.1,True,44,0,32,False,"(1, 2, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_26,10,0.25,0.5,1.0,26,16,27,20,True,0.3,False,12,19,14,True,"(0, 2, 1)",0.2,0.18888888888888888
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,6,38,8,False,0.3,False,4,27,6,False,"(0, 2, 1)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_27,10,0.25,0.5,1.0,27,14,25,26,True,0.3,True,10,0,18,True,"(2, 1, 0)",0.4111111111111111,0.5
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,2,39,10,False,0.3,True,2,0,6,False,"(2, 1, 0)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_28,10,0.25,0.5,1.0,28,0,16,58,True,0.2,True,0,0,46,True,"(1, 0, 2)",0.4888888888888889,0.3
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,54,0,36,False,0.2,True,44,0,28,False,"(1, 0, 2)",-1.0,-1.0
XENOLOGY,graph-prak-GFH\n10\D0.25_L0.5_H1.0\D0.25_L0.5_H1.0_n10_29,10,0.25,0.5,1.0,29,2,16,56,True,0.1,False,2,15,50,True,"(0, 1, 2)",0.07777777777777778,0.07777777777777778
DI_COGRAPH,,10,-1.0,-1.0,-1.0,-1,6,9,66,False,0.1,False,6,9,60,False,"(0, 1, 2)",-1.0,-1.0
